timeslot;time of day;Electricity [W];Availability of the EV;Energy Consumption of the EV
1;00:00;162.9;1;0
2;00:30;127.5;1;0
3;01:00;119.4;1;0
4;01:30;139.4;1;0
5;02:00;154.2;1;0
6;02:30;167.5;1;0
7;03:00;170.3;1;0
8;03:30;160;1;0
9;04:00;228.5;1;0
10;04:30;377.1;1;0
11;05:00;669.9;1;0
12;05:30;1135.3;1;0
13;06:00;1116.7;1;0
14;06:30;635.7;1;0
15;07:00;337;1;0
16;07:30;246.5;1;0
17;08:00;180.3;1;0
18;08:30;134.4;1;0
19;09:00;110;1;0
20;09:30;104.7;1;0
21;10:00;123.4;0;2594117.647
22;10:30;166.4;0;2594117.647
23;11:00;510.4;0;2594117.647
24;11:30;1151.2;0;2594117.647
25;12:00;1303.1;0;2594117.647
26;12:30;920.9;0;2594117.647
27;13:00;662;0;2594117.647
28;13:30;534.9;0;2594117.647
29;14:00;525.5;0;2594117.647
30;14:30;640.6;0;2594117.647
31;15:00;734.7;0;2594117.647
32;15:30;799.9;0;2594117.647
33;16:00;825.2;0;2594117.647
34;16:30;813.4;0;2594117.647
35;17:00;961.3;0;2594117.647
36;17:30;1279.5;0;2594117.647
37;18:00;1401.5;0;2594117.647
38;18:30;1295.6;1;0
39;19:00;1115.4;1;0
40;19:30;897.6;1;0
41;20:00;867.2;1;0
42;20:30;1039.7;1;0
43;21:00;931.7;1;0
44;21:30;552.1;1;0
45;22:00;291.6;1;0
46;22:30;187.4;1;0
47;23:00;131;1;0
48;23:30;126.7;1;0
