timeslot;time of day;Electricity [W];Availability of the EV;Energy Consumption of the EV
1;00:00;161.2;1;0
2;00:30;128.1;1;0
3;01:00;119.1;1;0
4;01:30;139.3;1;0
5;02:00;154;1;0
6;02:30;164.3;1;0
7;03:00;167.8;1;0
8;03:30;161.9;1;0
9;04:00;230.1;1;0
10;04:30;379.1;1;0
11;05:00;666.1;1;0
12;05:30;1128.6;1;0
13;06:00;1121.2;1;0
14;06:30;635.5;1;0
15;07:00;336;1;0
16;07:30;246.6;1;0
17;08:00;179.5;1;0
18;08:30;134.9;1;0
19;09:00;109.1;0;1813636.364
20;09:30;105.8;0;1813636.364
21;10:00;124.4;0;1813636.364
22;10:30;166.2;0;1813636.364
23;11:00;505.3;0;1813636.364
24;11:30;1152.1;0;1813636.364
25;12:00;1309.2;0;1813636.364
26;12:30;923.4;0;1813636.364
27;13:00;661.5;0;1813636.364
28;13:30;538.2;0;1813636.364
29;14:00;519.1;0;1813636.364
30;14:30;646.9;0;1813636.364
31;15:00;734.5;0;1813636.364
32;15:30;792.4;0;1813636.364
33;16:00;830.1;0;1813636.364
34;16:30;815.2;0;1813636.364
35;17:00;965.7;0;1813636.364
36;17:30;1279.9;0;1813636.364
37;18:00;1401.6;1;0
38;18:30;1288.1;1;0
39;19:00;1120;1;0
40;19:30;894;1;0
41;20:00;869.3;1;0
42;20:30;1028.8;1;0
43;21:00;937.6;1;0
44;21:30;542.4;1;0
45;22:00;289.2;1;0
46;22:30;188.8;1;0
47;23:00;130.2;1;0
48;23:30;126.5;1;0
