timeslot;time of day;Electricity [W];Availability of the EV;Energy Consumption of the EV
1;00:00;153.5;1;0
2;00:30;192;1;0
3;01:00;193.3;1;0
4;01:30;154.8;1;0
5;02:00;143.2;1;0
6;02:30;160.5;1;0
7;03:00;169.4;1;0
8;03:30;169.4;1;0
9;04:00;169.4;1;0
10;04:30;169.4;1;0
11;05:00;249.7;1;0
12;05:30;415.9;1;0
13;06:00;770.2;1;0
14;06:30;1325.6;1;0
15;07:00;1333.8;1;0
16;07:30;757;1;0
17;08:00;400.2;1;0
18;08:30;278.3;1;0
19;09:00;195.9;0;630000
20;09:30;155.7;0;630000
21;10:00;134.9;0;630000
22;10:30;134.9;0;630000
23;11:00;143.2;0;630000
24;11:30;160.5;0;630000
25;12:00;557.7;0;630000
26;12:30;1361.1;0;630000
27;13:00;1560.2;0;630000
28;13:30;1113.3;0;630000
29;14:00;806.6;0;630000
30;14:30;649.7;0;630000
31;15:00;581.4;0;630000
32;15:30;608.1;0;630000
33;16:00;650.9;0;630000
34;16:30;711.1;0;630000
35;17:00;735.2;0;630000
36;17:30;720.6;0;630000
37;18:00;960.8;0;630000
38;18:30;1473.4;0;630000
39;19:00;1600.7;1;0
40;19:30;1316.1;1;0
41;20:00;1133.3;1;0
42;20:30;1059.2;1;0
43;21:00;1030.5;1;0
44;21:30;1050.4;1;0
45;22:00;896.6;1;0
46;22:30;557;1;0
47;23:00;322.4;1;0
48;23:30;200;1;0
