timeslot;time of day;Electricity [W];Availability of the EV;Energy Consumption of the EV
1;00:00;275.3;1;0
2;00:30;241.9;1;0
3;01:00;298.1;1;0
4;01:30;292.6;1;0
5;02:00;229.5;1;0
6;02:30;261.1;1;0
7;03:00;259.3;1;0
8;03:30;357.3;1;0
9;04:00;335;1;0
10;04:30;331.3;1;0
11;05:00;301.2;1;0
12;05:30;561.2;1;0
13;06:00;923.5;1;0
14;06:30;1500;1;0
15;07:00;1464.3;0;1075849.802
16;07:30;919.5;0;1075849.802
17;08:00;470.2;0;1075849.802
18;08:30;461.6;0;1075849.802
19;09:00;375;0;1075849.802
20;09:30;213.4;0;1075849.802
21;10:00;335;0;1075849.802
22;10:30;238.7;0;1075849.802
23;11:00;335;0;1075849.802
24;11:30;271.1;0;1075849.802
25;12:00;745.2;0;1075849.802
26;12:30;1436.6;0;1075849.802
27;13:00;1703.2;0;1075849.802
28;13:30;1243.8;0;1075849.802
29;14:00;886.5;0;1075849.802
30;14:30;701.6;0;1075849.802
31;15:00;781.3;0;1075849.802
32;15:30;733.3;0;1075849.802
33;16:00;707.5;1;0
34;16:30;845;1;0
35;17:00;881.2;1;0
36;17:30;894.5;1;0
37;18:00;1078;1;0
38;18:30;1575.5;1;0
39;19:00;1774.1;1;0
40;19:30;1506.4;1;0
41;20:00;1159.1;1;0
42;20:30;1175.7;0;1075849.802
43;21:00;1149.5;0;1075849.802
44;21:30;1218.2;0;1075849.802
45;22:00;1059.2;1;0
46;22:30;750.9;1;0
47;23:00;491.5;1;0
48;23:30;273.8;1;0
