timeslot;time of day;Electricity [W];Availability of the EV;Energy Consumption of the EV
1;00:00;128.9;1;0
2;00:30;141.3;1;0
3;01:00;159.6;1;0
4;01:30;184.2;1;0
5;02:00;175.1;1;0
6;02:30;130;1;0
7;03:00;111.1;1;0
8;03:30;120;1;0
9;04:00;128.4;1;0
10;04:30;136.2;1;0
11;05:00;151.2;1;0
12;05:30;173.8;1;0
13;06:00;241;1;0
14;06:30;356;1;0
15;07:00;637.7;1;0
16;07:30;1097.6;1;0
17;08:00;1126.8;0;1145454.545
18;08:30;695.7;0;1145454.545
19;09:00;404.2;0;1145454.545
20;09:30;261.8;0;1145454.545
21;10:00;175.7;0;1145454.545
22;10:30;149.9;0;1145454.545
23;11:00;129.9;0;1145454.545
24;11:30;116.3;0;1145454.545
25;12:00;124.6;0;1145454.545
26;12:30;156.5;0;1145454.545
27;13:00;474.7;0;1145454.545
28;13:30;1099.1;0;1145454.545
29;14:00;1270.4;0;1145454.545
30;14:30;957.3;0;1145454.545
31;15:00;715.8;0;1145454.545
32;15:30;550.8;0;1145454.545
33;16:00;492.7;1;0
34;16:30;548.8;1;0
35;17:00;593.3;1;0
36;17:30;625.3;1;0
37;18:00;640.5;1;0
38;18:30;637.8;1;0
39;19:00;822.7;1;0
40;19:30;1208.2;1;0
41;20:00;1311.6;1;0
42;20:30;1113.4;1;0
43;21:00;1030;1;0
44;21:30;1069.2;1;0
45;22:00;1036.1;1;0
46;22:30;925.6;1;0
47;23:00;759.6;1;0
48;23:30;534.2;1;0
