timeslot;time of day;Electricity [W];Availability of the EV;Energy Consumption of the EV
1;00:00;153.3;1;0
2;00:30;190.9;1;0
3;01:00;194.1;1;0
4;01:30;154.6;1;0
5;02:00;142.5;1;0
6;02:30;159.1;1;0
7;03:00;170.3;1;0
8;03:30;169.3;1;0
9;04:00;171;1;0
10;04:30;169.3;1;0
11;05:00;247.2;1;0
12;05:30;414.2;1;0
13;06:00;775.5;1;0
14;06:30;1324;0;1045849.802
15;07:00;1349.3;0;1045849.802
16;07:30;760.5;0;1045849.802
17;08:00;400.2;0;1045849.802
18;08:30;279.6;0;1045849.802
19;09:00;197;0;1045849.802
20;09:30;155.4;0;1045849.802
21;10:00;135;0;1045849.802
22;10:30;135.7;0;1045849.802
23;11:00;143;0;1045849.802
24;11:30;161.1;0;1045849.802
25;12:00;556.2;0;1045849.802
26;12:30;1358.6;0;1045849.802
27;13:00;1567.2;0;1045849.802
28;13:30;1120.8;0;1045849.802
29;14:00;810.5;0;1045849.802
30;14:30;649.6;0;1045849.802
31;15:00;584.3;0;1045849.802
32;15:30;600.3;0;1045849.802
33;16:00;653.5;0;1045849.802
34;16:30;706;1;0
35;17:00;734.2;1;0
36;17:30;722.5;1;0
37;18:00;961;1;0
38;18:30;1478.5;1;0
39;19:00;1593.1;1;0
40;19:30;1319.4;1;0
41;20:00;1139.1;1;0
42;20:30;1061.7;0;1045849.802
43;21:00;1040.5;0;1045849.802
44;21:30;1053.2;0;1045849.802
45;22:00;906.2;1;0
46;22:30;559.9;1;0
47;23:00;323.5;1;0
48;23:30;200.8;1;0
