timeslot;time of day;Electricity [W];Availability of the EV;Energy Consumption of the EV
1;00:00;163.4;1;0
2;00:30;190.9;1;0
3;01:00;192.5;1;0
4;01:30;166.3;1;0
5;02:00;166.1;1;0
6;02:30;193.5;1;0
7;03:00;201.3;1;0
8;03:30;188.2;1;0
9;04:00;185.6;1;0
10;04:30;194.4;1;0
11;05:00;257;1;0
12;05:30;377.2;1;0
13;06:00;734.5;1;0
14;06:30;1345.3;0;2170334.928
15;07:00;1389.8;0;2170334.928
16;07:30;828.8;0;2170334.928
17;08:00;470.9;0;2170334.928
18;08:30;330.1;0;2170334.928
19;09:00;228.7;0;2170334.928
20;09:30;169.5;0;2170334.928
21;10:00;133.2;0;2170334.928
22;10:30;121.4;0;2170334.928
23;11:00;128.8;0;2170334.928
24;11:30;156.6;0;2170334.928
25;12:00;540.8;0;2170334.928
26;12:30;1306.1;0;2170334.928
27;13:00;1470.4;0;2170334.928
28;13:30;992.3;0;2170334.928
29;14:00;713.8;0;2170334.928
30;14:30;648.6;0;2170334.928
31;15:00;604.1;0;2170334.928
32;15:30;581.6;0;2170334.928
33;16:00;639.2;1;0
34;16:30;782.3;1;0
35;17:00;819.7;1;0
36;17:30;744.1;1;0
37;18:00;928.4;1;0
38;18:30;1390.5;1;0
39;19:00;1584.8;1;0
40;19:30;1492.6;1;0
41;20:00;1365.1;1;0
42;20:30;1199.9;1;0
43;21:00;1059.1;1;0
44;21:30;944.3;1;0
45;22:00;777.5;1;0
46;22:30;555.1;1;0
47;23:00;370.2;1;0
48;23:30;225.5;1;0
