timeslot;time of day;Electricity [W];Availability of the EV;Energy Consumption of the EV
1;00:00;162.6;1;0
2;00:30;128.1;1;0
3;01:00;119.4;1;0
4;01:30;138.3;1;0
5;02:00;153.8;1;0
6;02:30;165.8;1;0
7;03:00;168.5;1;0
8;03:30;161.3;1;0
9;04:00;229;1;0
10;04:30;376.5;1;0
11;05:00;673.1;1;0
12;05:30;1128.7;1;0
13;06:00;1126.3;1;0
14;06:30;634.1;1;0
15;07:00;336.4;1;0
16;07:30;246.7;1;0
17;08:00;178.9;1;0
18;08:30;134.5;0;2088770.053
19;09:00;109.4;0;2088770.053
20;09:30;105;0;2088770.053
21;10:00;123.7;0;2088770.053
22;10:30;167.1;0;2088770.053
23;11:00;502.8;0;2088770.053
24;11:30;1151.1;0;2088770.053
25;12:00;1303.3;0;2088770.053
26;12:30;925.2;0;2088770.053
27;13:00;665.9;0;2088770.053
28;13:30;533.4;0;2088770.053
29;14:00;522.1;0;2088770.053
30;14:30;640.3;0;2088770.053
31;15:00;734.2;0;2088770.053
32;15:30;802.1;0;2088770.053
33;16:00;829.3;0;2088770.053
34;16:30;812.8;0;2088770.053
35;17:00;961.4;1;0
36;17:30;1286.4;1;0
37;18:00;1400.3;1;0
38;18:30;1288.5;1;0
39;19:00;1121.2;1;0
40;19:30;894.5;1;0
41;20:00;861.7;1;0
42;20:30;1036.4;1;0
43;21:00;936.7;1;0
44;21:30;543.8;1;0
45;22:00;290.7;1;0
46;22:30;187.2;1;0
47;23:00;131.2;1;0
48;23:30;126.1;1;0
