timeslot;time of day;Electricity [W];Availability of the EV;Energy Consumption of the EV
1;00:00;163;1;0
2;00:30;191.6;1;0
3;01:00;192.9;1;0
4;01:30;167;1;0
5;02:00;166.4;1;0
6;02:30;193.6;1;0
7;03:00;202.8;1;0
8;03:30;188.4;1;0
9;04:00;184.9;1;0
10;04:30;193.8;1;0
11;05:00;255.4;1;0
12;05:30;379;1;0
13;06:00;738.3;1;0
14;06:30;1328.1;1;0
15;07:00;1390.2;0;1827272.727
16;07:30;824.9;0;1827272.727
17;08:00;468.2;0;1827272.727
18;08:30;331.6;0;1827272.727
19;09:00;229.9;0;1827272.727
20;09:30;168.6;0;1827272.727
21;10:00;133.3;0;1827272.727
22;10:30;122.8;0;1827272.727
23;11:00;129.1;0;1827272.727
24;11:30;157;0;1827272.727
25;12:00;539.8;0;1827272.727
26;12:30;1316.5;0;1827272.727
27;13:00;1461.5;0;1827272.727
28;13:30;997.8;0;1827272.727
29;14:00;707.4;0;1827272.727
30;14:30;645.1;0;1827272.727
31;15:00;606.3;1;0
32;15:30;580.9;1;0
33;16:00;643.3;1;0
34;16:30;779.8;0;1827272.727
35;17:00;818.6;0;1827272.727
36;17:30;735.9;0;1827272.727
37;18:00;937.7;0;1827272.727
38;18:30;1384.2;0;1827272.727
39;19:00;1588;1;0
40;19:30;1496.1;1;0
41;20:00;1360.3;1;0
42;20:30;1196.1;1;0
43;21:00;1053.4;1;0
44;21:30;943.6;1;0
45;22:00;776.2;1;0
46;22:30;554.7;1;0
47;23:00;367.5;1;0
48;23:30;225.6;1;0
